name,vendor,generation,socket,lithography,cores,threads,base_clock_ghz,boost_clock_ghz,tdp_w,memory_types,max_memory_gb,memory_channels,ecc_support,has_igpu,url
Core i5-4670K,Intel,4th Gen,LGA1150,22nm,4,4,3.4,3.8,84,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i5-4670k
Core i5-4690,Intel,4th Gen,LGA1150,22nm,4,4,3.5,3.9,84,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i5-4690
Core i5-4690K,Intel,4th Gen,LGA1150,22nm,4,4,3.5,3.9,88,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i5-4690k
Core i5-5675C,Intel,5th Gen,LGA1150,14nm,4,4,3.1,3.6,65,DDR3,,,No,Yes,https://pcspecs.io/cpus/core-i5-5675c
Core i5-6400,Intel,6th Gen,LGA1151,14nm,4,4,2.7,3.3,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-6400
Core i5-6500,Intel,6th Gen,LGA1151,14nm,4,4,3.2,3.6,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-6500
Core i5-6600,Intel,6th Gen,LGA1151,14nm,4,4,3.3,3.9,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-6600
Core i5-6600K,Intel,6th Gen,LGA1151,14nm,4,4,3.5,3.9,91,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-6600k
Core i5-7400,Intel,7th Gen,LGA1151,14nm,4,4,3.0,3.5,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-7400
Core i5-7500,Intel,7th Gen,LGA1151,14nm,4,4,3.4,3.8,65,DDR4,64,2,No,Yes,https://pcspecs.io/cpus/core-i5-7500
Core i5-7600,Intel,7th Gen,LGA1151,14nm,4,4,3.5,4.1,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-7600
Core i5-7600K,Intel,7th Gen,LGA1151,14nm,4,4,3.8,4.2,91,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-7600k
Core i5-8400,Intel,8th Gen,LGA1151,14nm,6,6,2.8,4.0,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-8400
Core i5-8500,Intel,8th Gen,LGA1151,14nm,6,6,3.0,4.1,65,DDR4,128,2,No,Yes,https://pcspecs.io/cpus/core-i5-8500
Core i5-8600,Intel,8th Gen,LGA1151,14nm,6,6,3.1,4.3,65,DDR4,128,2,No,Yes,https://pcspecs.io/cpus/core-i5-8600
Core i5-8600K,Intel,8th Gen,LGA1151,14nm,6,6,3.6,4.3,95,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-8600k
Core i5-9400,Intel,9th Gen,LGA1151,14nm,6,6,2.9,4.1,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-9400
Core i5-9400F,Intel,9th Gen,LGA1151,14nm,6,6,2.9,4.1,65,DDR4,,,No,No,https://pcspecs.io/cpus/core-i5-9400f
Core i5-9500,Intel,9th Gen,LGA1151,14nm,6,6,3.0,4.4,65,DDR4,128,2,No,Yes,https://pcspecs.io/cpus/core-i5-9500
Core i5-9600,Intel,9th Gen,LGA1151,14nm,6,6,3.1,4.6,65,DDR4,128,2,No,Yes,https://pcspecs.io/cpus/core-i5-9600
Core i5-9600K,Intel,9th Gen,LGA1151,14nm,6,6,3.7,4.6,95,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i5-9600k
Core i5-9600KF,Intel,9th Gen,LGA1151,14nm,6,6,3.7,4.6,95,DDR4,,,No,No,https://pcspecs.io/cpus/core-i5-9600kf
Core i7-10510U,Intel,10th Gen (Comet Lake),FCBGA1528,14nm,4,8,1.8,4.9,15,"DDR4-2666, LPDDR3-2133, LPDDR4-2933",64,2,No,Yes,https://pcspecs.io/cpus/core-i7-10510u
Core i7-10700,Intel,10th Gen,LGA1200,14nm,8,16,2.9,4.8,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i7-10700
Core i7-10700F,Intel,10th Gen,LGA1200,14nm,8,16,2.9,4.8,65,DDR4,,,No,No,https://pcspecs.io/cpus/core-i7-10700f
Core i7-10700K,Intel,10th Gen,LGA1200,14nm,8,16,3.8,5.1,125,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i7-10700k
Core i7-10700KF,Intel,10th Gen,LGA1200,14nm,8,16,3.8,5.1,125,DDR4,,,No,No,https://pcspecs.io/cpus/core-i7-10700kf
Core i7-1165G7,Intel,11th Gen (Tiger Lake),FCBGA1449,10nm,4,8,2.8,4.7,28,"DDR4-3200, LPDDR4x-4267",64,2,No,Yes,https://pcspecs.io/cpus/core-i7-1165g7
Core i7-11700,Intel,11th Gen,LGA1200,14nm,8,16,2.5,4.9,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i7-11700
Core i7-11700F,Intel,11th Gen,LGA1200,14nm,8,16,2.5,4.9,65,DDR4,,,No,No,https://pcspecs.io/cpus/core-i7-11700f
Core i7-11700K,Intel,11th Gen,LGA1200,14nm,8,16,3.6,5.0,125,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i7-11700k
Core i7-11700KF,Intel,11th Gen,LGA1200,14nm,8,16,3.6,5.0,125,DDR4,,,No,No,https://pcspecs.io/cpus/core-i7-11700kf
Core i7-12700,Intel,12th Gen,LGA1700,10nm,12,20,2.1,4.9,65,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i7-12700
Core i7-12700F,Intel,12th Gen,LGA1700,10nm,12,20,2.1,4.9,65,DDR4/DDR5,,,No,No,https://pcspecs.io/cpus/core-i7-12700f
Core i7-12700K,Intel,12th Gen,LGA1700,10nm,12,20,3.6,5.0,125,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i7-12700k
Core i7-12700KF,Intel,12th Gen,LGA1700,10nm,12,20,3.6,5.0,125,DDR4/DDR5,,,No,No,https://pcspecs.io/cpus/core-i7-12700kf
Core i7-13650HX,Intel,13th Gen (Raptor Lake),FCBGA1964,10nm,14,20,2.6,4.9,55,"DDR5-4800, DDR4-3200",192,2,No,Yes,https://pcspecs.io/cpus/core-i7-13650hx
Core i7-13700,Intel,13th Gen,LGA1700,10nm,16,24,2.1,5.2,65,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i7-13700
Core i7-13700F,Intel,13th Gen (Raptor Lake),LGA1700,10nm,16,24,2.1,5.2,65,"DDR5, DDR4",192,2,No,No,https://pcspecs.io/cpus/core-i7-13700f
Core i7-13700H,Intel,13th Gen,FCBGA1744,10nm,14,20,1.8,5.0,45,"DDR5-5200, DDR4-3200, LPDDR5x-6400, LPDDR4x-4267",96,2,No,Yes,https://pcspecs.io/cpus/core-i7-13700h
Core i7-13700HX,Intel,13th Gen (Raptor Lake),FCBGA1964,10nm,16,24,2.1,5.0,55,"DDR5-4800, DDR4-3200",192,2,No,Yes,https://pcspecs.io/cpus/core-i7-13700hx
Core i7-13700K,Intel,13th Gen (Raptor Lake),LGA1700,10nm,16,24,3.4,5.4,125,"DDR5, DDR4",192,2,No,Yes,https://pcspecs.io/cpus/core-i7-13700k
Core i7-13700KF,Intel,13th Gen (Raptor Lake),LGA1700,10nm,16,24,3.4,5.4,125,"DDR5, DDR4",192,2,No,No,https://pcspecs.io/cpus/core-i7-13700kf
Core i7-13700T,Intel,Raptor Lake,LGA1700,10nm,16,24,1.4,4.9,35,"DDR5, DDR4",128,2,Yes,Yes,https://pcspecs.io/cpus/core-i7-13700t
Core i7-14700,Intel,14th Gen (Raptor Lake Refresh),LGA1700,10nm,20,28,2.1,5.4,65,"DDR5, DDR4",192,2,No,Yes,https://pcspecs.io/cpus/core-i7-14700
Core i7-14700F,Intel,14th Gen (Raptor Lake Refresh),LGA1700,10nm,20,28,2.1,5.4,65,"DDR5, DDR4",192,2,No,No,https://pcspecs.io/cpus/core-i7-14700f
Core i7-14700HX,Intel,Raptor Lake-HX Refresh,FCBGA1964,10nm,20,28,2.1,5.5,55,"DDR5, DDR4",192,2,No,Yes,https://pcspecs.io/cpus/core-i7-14700hx
Core i7-14700K,Intel,14th Gen (Raptor Lake Refresh),LGA1700,10nm,20,28,3.4,5.6,125,"DDR5, DDR4",192,2,No,Yes,https://pcspecs.io/cpus/core-i7-14700k
Core i7-14700KF,Intel,14th Gen (Raptor Lake Refresh),LGA1700,10nm,20,28,3.4,5.6,125,"DDR5, DDR4",192,2,No,No,https://pcspecs.io/cpus/core-i7-14700kf
Core i7-2600K,Intel,2nd Gen,LGA1155,32nm,4,8,3.4,3.8,95,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i7-2600k
Core i7-3770K,Intel,3rd Gen,LGA1155,22nm,4,8,3.5,3.9,77,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i7-3770k
Core i7-4770,Intel,4th Gen,LGA1150,22nm,4,8,3.4,3.9,84,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i7-4770
Core i7-4770K,Intel,4th Gen,LGA1150,22nm,4,8,3.5,3.9,84,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i7-4770k
Core i7-4790,Intel,4th Gen,LGA1150,22nm,4,8,3.6,4.0,84,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i7-4790
Core i7-4790K,Intel,4th Gen,LGA1150,22nm,4,8,4.0,4.4,88,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i7-4790k
Core i7-4820K,Intel,4th Gen,LGA2011,22nm,4,8,3.7,3.9,130,DDR3,64,4,No,No,https://pcspecs.io/cpus/core-i7-4820k
Core i7-4930K,Intel,4th Gen,LGA2011,22nm,6,12,3.4,3.9,130,DDR3,64,4,No,No,https://pcspecs.io/cpus/core-i7-4930k
Core i7-5775C,Intel,5th Gen,LGA1150,14nm,4,8,3.3,3.7,65,DDR3,,,No,Yes,https://pcspecs.io/cpus/core-i7-5775c
Core i7-5820K,Intel,5th Gen,LGA2011-3,22nm,6,12,3.3,3.6,140,DDR4,64,4,No,No,https://pcspecs.io/cpus/core-i7-5820k
Core i7-5930K,Intel,5th Gen,LGA2011-3,22nm,6,12,3.5,3.7,140,DDR4,64,4,No,No,https://pcspecs.io/cpus/core-i7-5930k
Core i7-5960X,Intel,5th Gen,LGA2011-3,22nm,8,16,3.0,3.5,140,DDR4,64,4,No,No,https://pcspecs.io/cpus/core-i7-5960x
Core i7-6700,Intel,6th Gen,LGA1151,14nm,4,8,3.4,4.0,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i7-6700
Core i7-6700HQ,Intel,6th Gen (Skylake),FCBGA1440,14nm,4,8,2.6,3.5,45,"DDR4-2133, DDR3L-1600, LPDDR3-1866",64,2,No,Yes,https://pcspecs.io/cpus/core-i7-6700hq
Core i7-6700K,Intel,6th Gen,LGA1151,14nm,4,8,4.0,4.2,91,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i7-6700k
Core i7-6800K,Intel,6th Gen,LGA2011-3,14nm,6,12,3.4,3.8,140,DDR4,128,4,No,No,https://pcspecs.io/cpus/core-i7-6800k
Core i7-6900K,Intel,6th Gen,LGA2011-3,14nm,8,16,3.2,3.7,140,DDR4,128,4,No,No,https://pcspecs.io/cpus/core-i7-6900k
Core i7-6950X,Intel,6th Gen,LGA2011-3,14nm,10,20,3.0,3.5,140,DDR4,128,4,No,No,https://pcspecs.io/cpus/core-i7-6950x
Core i7-7700,Intel,7th Gen,LGA1151,14nm,4,8,3.6,4.2,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i7-7700
Core i7-7700HQ,Intel,7th Gen (Kaby Lake),FCBGA1440,14nm,4,8,2.8,3.8,45,"DDR4-2400, DDR3L-1600",64,2,No,Yes,https://pcspecs.io/cpus/core-i7-7700hq
Core i7-7700K,Intel,7th Gen,LGA1151,14nm,4,8,4.2,4.5,91,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i7-7700k
Core i7-8700,Intel,8th Gen,LGA1151,14nm,6,12,3.2,4.6,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i7-8700
Core i7-8700K,Intel,8th Gen,LGA1151,14nm,6,12,3.7,4.7,95,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i7-8700k
Core i7-9700,Intel,9th Gen,LGA1151,14nm,8,8,3.0,4.7,65,DDR4,128,2,No,Yes,https://pcspecs.io/cpus/core-i7-9700
Core i7-9700K,Intel,9th Gen,LGA1151,14nm,8,8,3.6,4.9,95,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i7-9700k
Core i7-9700KF,Intel,9th Gen,LGA1151,14nm,8,8,3.6,4.9,95,DDR4,,,No,No,https://pcspecs.io/cpus/core-i7-9700kf
Core i9-10850K,Intel,10th Gen,LGA1200,14nm,10,20,3.6,5.2,125,DDR4,128,2,No,Yes,https://pcspecs.io/cpus/core-i9-10850k
Core i9-10900,Intel,10th Gen,LGA1200,14nm,10,20,2.8,5.2,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i9-10900
Core i9-10900F,Intel,10th Gen,LGA1200,14nm,10,20,2.8,5.2,65,DDR4,,,No,No,https://pcspecs.io/cpus/core-i9-10900f
Core i9-10900K,Intel,10th Gen,LGA1200,14nm,10,20,3.7,5.3,125,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i9-10900k
Core i9-10900KF,Intel,10th Gen,LGA1200,14nm,10,20,3.7,5.3,125,DDR4,,,No,No,https://pcspecs.io/cpus/core-i9-10900kf
Core i9-11900,Intel,11th Gen,LGA1200,14nm,8,16,2.5,5.2,65,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i9-11900
Core i9-11900F,Intel,11th Gen,LGA1200,14nm,8,16,2.5,5.2,65,DDR4,,,No,No,https://pcspecs.io/cpus/core-i9-11900f
Core i9-11900K,Intel,11th Gen,LGA1200,14nm,8,16,3.5,5.3,125,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i9-11900k
Core i9-11900KF,Intel,11th Gen,LGA1200,14nm,8,16,3.5,5.3,125,DDR4,,,No,No,https://pcspecs.io/cpus/core-i9-11900kf
Core i9-12900,Intel,12th Gen,LGA1700,10nm,16,24,2.4,5.1,65,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i9-12900
Core i9-12900F,Intel,12th Gen,LGA1700,10nm,16,24,2.4,5.1,65,DDR4/DDR5,,,No,No,https://pcspecs.io/cpus/core-i9-12900f
Core i9-12900K,Intel,12th Gen (Alder Lake),LGA1700,10nm,16,24,3.2,5.2,125,"DDR5, DDR4",128,2,No,Yes,https://pcspecs.io/cpus/core-i9-12900k
Core i9-12900KF,Intel,12th Gen,LGA1700,10nm,16,24,3.2,5.2,125,DDR4/DDR5,,,No,No,https://pcspecs.io/cpus/core-i9-12900kf
Core i9-12900KS,Intel,12th Gen,LGA1700,10nm,16,24,3.4,5.5,150,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i9-12900ks
Core i9-13900,Intel,13th Gen,LGA1700,10nm,24,32,2.0,5.6,65,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i9-13900
Core i9-13900F,Intel,13th Gen,LGA1700,10nm,24,32,2.0,5.6,65,DDR4/DDR5,,,No,No,https://pcspecs.io/cpus/core-i9-13900f
Core i9-13900K,Intel,13th Gen (Raptor Lake),LGA1700,10nm,24,32,3.0,5.8,125,"DDR5, DDR4",192,2,No,Yes,https://pcspecs.io/cpus/core-i9-13900k
Core i9-13900KF,Intel,13th Gen (Raptor Lake),LGA1700,10nm,24,32,3.0,5.8,125,"DDR5, DDR4",192,2,No,No,https://pcspecs.io/cpus/core-i9-13900kf
Core i9-13900KS,Intel,13th Gen,LGA1700,10nm,24,32,3.0,6.0,150,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i9-13900ks
Core i9-14900,Intel,14th Gen,LGA1700,10nm,24,32,2.0,5.8,65,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i9-14900
Core i9-14900F,Intel,14th Gen (Raptor Lake Refresh),LGA1700,10nm,24,32,2.0,5.8,65,"DDR5, DDR4",192,2,No,No,https://pcspecs.io/cpus/core-i9-14900f
Core i9-14900HX,Intel,14th Gen (Raptor Lake Refresh),FCBGA1964,10nm,24,32,2.2,5.8,55,"DDR5, DDR4",192,2,No,Yes,https://pcspecs.io/cpus/core-i9-14900hx
Core i9-14900K,Intel,14th Gen (Raptor Lake Refresh),LGA1700,10nm,24,32,3.2,6.0,125,"DDR5, DDR4",192,2,Yes,Yes,https://pcspecs.io/cpus/core-i9-14900k
Core i9-14900KF,Intel,14th Gen (Raptor Lake Refresh),LGA1700,10nm,24,32,3.2,6.0,125,"DDR5, DDR4",192,2,No,No,https://pcspecs.io/cpus/core-i9-14900kf
Core i9-14900KS,Intel,14th Gen (Raptor Lake Refresh),LGA1700,10nm,24,32,3.2,6.2,150,"DDR5, DDR4",192,2,No,Yes,https://pcspecs.io/cpus/core-i9-14900ks
Core i9-9900,Intel,9th Gen,LGA1151,14nm,8,16,3.1,5.0,65,DDR4,128,2,No,Yes,https://pcspecs.io/cpus/core-i9-9900
Core i9-9900K,Intel,9th Gen,LGA1151,14nm,8,16,3.6,5.0,95,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i9-9900k
Core i9-9900KF,Intel,9th Gen,LGA1151,14nm,8,16,3.6,5.0,95,DDR4,,,No,No,https://pcspecs.io/cpus/core-i9-9900kf
Core i9-9900KS,Intel,9th Gen,LGA1151,14nm,8,16,4.0,5.0,127,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i9-9900ks
Core Ultra 5 225,Intel,Arrow Lake,FCLGA1851,3nm,10,10,3.3,4.9,65,DDR5,256,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-225
Core Ultra 5 225F,Intel,Arrow Lake,FCLGA1851,3nm,10,10,3.3,4.9,65,DDR5,256,2,No,No,https://pcspecs.io/cpus/core-ultra-5-225f
Core Ultra 5 225H,Intel,Arrow Lake,FCBGA2049,3nm,14,14,1.7,4.9,28,LPDDR5/DDR5,128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-225h
Core Ultra 5 225U,Intel,Arrow Lake,FCBGA2049,3nm,12,14,1.5,4.8,15,LPDDR5/DDR5,128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-225u
Core Ultra 5 226V,Intel,Core Ultra Series 2,FCBGA2833,3nm,8,8,2.1,4.5,17,LPDDR5X-8533,16,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-226v
Core Ultra 5 228V,Intel,Core Ultra Series 2,FCBGA2833,3nm,8,8,2.1,4.5,17,LPDDR5X-8533,32,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-228v
Core Ultra 5 235,Intel,Arrow Lake,FCLGA1851,3nm,14,14,3.4,5.0,65,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-5-235
Core Ultra 5 235H,Intel,Arrow Lake,FCBGA2049,3nm,14,14,2.4,5.0,28,LPDDR5/DDR5,128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-235h
Core Ultra 5 235HX,Intel,Arrow Lake,FCBGA2114,3nm,14,14,2.9,5.1,55,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-5-235hx
Core Ultra 5 235T,Intel,Arrow Lake,FCLGA1851,3nm,14,14,1.8,5.0,35,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-5-235t
Core Ultra 5 235U,Intel,Arrow Lake,FCBGA2049,3nm,12,14,2.0,4.9,15,LPDDR5/DDR5,128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-235u
Core Ultra 5 236V,Intel,Core Ultra Series 2,FCBGA2833,3nm,8,8,2.1,4.7,17,LPDDR5X-8533,16,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-236v
Core Ultra 5 238V,Intel,Core Ultra Series 2,FCBGA2833,3nm,8,8,2.1,4.7,17,LPDDR5X-8533,32,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-238v
Core Ultra 5 245,Intel,Arrow Lake,FCLGA1851,3nm,14,14,2.2,5.1,65,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-5-245
Core Ultra 5 245HX,Intel,Arrow Lake,FCBGA2114,3nm,14,14,3.1,5.1,55,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-5-245hx
Core Ultra 5 245K,Intel,Arrow Lake,FCLGA1851,3nm,14,14,4.2,5.2,125,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-5-245k
Core Ultra 5 245KF,Intel,Arrow Lake,FCLGA1851,3nm,14,14,4.2,5.2,125,DDR5,256,2,Yes,No,https://pcspecs.io/cpus/core-ultra-5-245kf
Core Ultra 5 245T,Intel,Arrow Lake,FCLGA1851,3nm,14,14,2.2,5.1,35,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-5-245t
Core Ultra 5 250K Plus,Intel,Core Ultra Series 2 Plus,FCLGA1851,3nm,18,18,4.2,5.3,125,"DDR5-7200, DDR5-6400",256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-5-250k-plus
Core Ultra 5 250KF Plus,Intel,Core Ultra Series 2 Plus,FCLGA1851,3nm,18,18,4.2,5.3,125,"DDR5-7200, DDR5-6400",256,2,No,No,https://pcspecs.io/cpus/core-ultra-5-250kf-plus
Core Ultra 5 322,Intel,Core Ultra Series 3,FCBGA2595,2nm,6,6,1.9,4.4,25,"LPDDR5X-7467, DDR5-6400",128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-322
Core Ultra 5 325,Intel,Core Ultra Series 3,FCBGA2595,2nm,8,8,1.6,4.5,25,"LPDDR5X-7467, DDR5-6400",128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-325
Core Ultra 5 332,Intel,Core Ultra Series 3,FCBGA2595,2nm,6,6,1.9,4.4,25,"LPDDR5X-7467, DDR5-6400",128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-332
Core Ultra 5 335,Intel,Core Ultra Series 3,FCBGA2595,2nm,8,8,1.6,4.6,25,"LPDDR5X-7467, DDR5-6400",128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-335
Core Ultra 5 336H,Intel,Core Ultra Series 3,FCBGA2540,2nm,12,12,1.9,4.6,25,"LPDDR5X-8533, DDR5-7200",96,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-336h
Core Ultra 5 338H,Intel,Core Ultra Series 3,FCBGA2540,2nm,12,12,1.9,4.7,25,"LPDDR5X-8533, DDR5-7200",96,2,No,Yes,https://pcspecs.io/cpus/core-ultra-5-338h
Core Ultra 7 255H,Intel,Arrow Lake-H,FCBGA2049,3nm,16,16,2.0,5.1,28,"LPDDR5X, DDR5",192,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-255h
Core Ultra 7 255HX,Intel,Arrow Lake,FCBGA2114,3nm,20,20,2.3,5.2,55,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-7-255hx
Core Ultra 7 255U,Intel,Arrow Lake,FCBGA2049,3nm,12,14,2.0,5.2,15,LPDDR5/DDR5,128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-255u
Core Ultra 7 256V,Intel,Core Ultra Series 2,FCBGA2833,3nm,8,8,2.8,4.8,17,LPDDR5X-8533,16,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-256v
Core Ultra 7 258V,Intel,Core Ultra Series 2,FCBGA2833,3nm,8,8,3.0,4.8,17,LPDDR5X-8533,32,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-258v
Core Ultra 7 265,Intel,Arrow Lake,FCLGA1851,3nm,20,20,2.4,5.3,65,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-7-265
Core Ultra 7 265F,Intel,Arrow Lake,FCLGA1851,3nm,20,20,2.4,5.3,65,DDR5,256,2,Yes,No,https://pcspecs.io/cpus/core-ultra-7-265f
Core Ultra 7 265H,Intel,Arrow Lake,FCBGA2049,3nm,16,16,2.2,5.3,28,LPDDR5/DDR5,128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-265h
Core Ultra 7 265HX,Intel,Arrow Lake,FCBGA2114,3nm,20,20,2.6,5.3,55,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-7-265hx
Core Ultra 7 265K,Intel,Arrow Lake (Core Ultra 200),LGA1851,3nm,20,20,3.9,5.5,125,DDR5,256,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-265k
Core Ultra 7 265KF,Intel,Arrow Lake (Core Ultra 200),LGA1851,3nm,20,20,3.9,5.5,125,DDR5,256,2,No,No,https://pcspecs.io/cpus/core-ultra-7-265kf
Core Ultra 7 265T,Intel,Arrow Lake,FCLGA1851,3nm,20,20,1.5,5.3,35,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-7-265t
Core Ultra 7 265U,Intel,Arrow Lake,FCBGA2049,3nm,12,14,2.1,5.3,15,LPDDR5/DDR5,128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-265u
Core Ultra 7 266V,Intel,Core Ultra Series 2,FCBGA2833,3nm,8,8,3.3,5.0,17,LPDDR5X-8533,16,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-266v
Core Ultra 7 268V,Intel,Core Ultra Series 2,FCBGA2833,3nm,8,8,3.3,5.0,17,LPDDR5X-8533,32,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-268v
Core Ultra 7 270HX Plus,Intel,Core Ultra Series 2 Plus,FCBGA2114,3nm,20,20,2.4,5.3,55,DDR5-6400,256,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-270hx-plus
Core Ultra 7 270K Plus,Intel,Core Ultra Series 2 Plus,FCLGA1851,3nm,24,24,3.7,5.5,125,"DDR5-7200, DDR5-6400",256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-7-270k-plus
Core Ultra 7 355,Intel,Core Ultra Series 3,FCBGA2595,2nm,8,8,1.7,4.7,25,"LPDDR5X-7467, DDR5-6400",128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-355
Core Ultra 7 356H,Intel,Core Ultra Series 3,FCBGA2540,2nm,16,16,1.5,4.7,25,"LPDDR5X-8533, DDR5-7200",128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-356h
Core Ultra 7 365,Intel,Core Ultra Series 3,FCBGA2595,2nm,8,8,1.8,4.8,25,"LPDDR5X-7467, DDR5-6400",128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-365
Core Ultra 7 366H,Intel,Core Ultra Series 3,FCBGA2540,2nm,16,16,2.0,4.8,25,"LPDDR5X-8533, DDR5-7200",128,2,No,Yes,https://pcspecs.io/cpus/core-ultra-7-366h
Core Ultra 9 275HX,Intel,Arrow Lake-HX,FCBGA2114,3nm,24,24,2.7,5.4,55,DDR5,192,2,No,Yes,https://pcspecs.io/cpus/core-ultra-9-275hx
Core Ultra 9 285,Intel,Arrow Lake,FCLGA1851,3nm,24,24,2.5,5.6,65,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-9-285
Core Ultra 9 285H,Intel,Arrow Lake-H,FCBGA2049,3nm,16,16,2.9,5.4,45,"LPDDR5X, DDR5",192,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-9-285h
Core Ultra 9 285HX,Intel,Arrow Lake,FCBGA2114,3nm,24,24,2.8,5.5,55,DDR5,256,2,Yes,Yes,https://pcspecs.io/cpus/core-ultra-9-285hx
